"anio","mes","division","indice"
2011,4,1,37.42471221355
2011,4,2,78.0530973451327
2011,4,3,83.8017628471644
2011,4,4,80.2825600247046
2011,4,5,76.7805618830675
2011,4,6,74.1907133440749
2011,4,7,77.0785219399538
2011,4,8,90.4663491778237
2011,4,9,76.9800656839532
2011,4,10,94.4158156094818
2011,4,11,67.0853440867323
2011,4,12,79.1680449806302
2011,4,13,74.6962021686745
2011,5,1,37.6741865355144
2011,5,2,78.6071565986918
2011,5,3,84.042907034758
2011,5,4,81.2244267737203
2011,5,5,76.9855732725892
2011,5,6,74.4250769005419
2011,5,7,77.4032909930715
2011,5,8,90.5472189774463
2011,5,9,76.7509356144504
2011,5,10,94.4158156094818
2011,5,11,67.4357109803662
2011,5,12,79.2823202062789
2011,5,13,74.9119663830956
2011,6,1,38.4047899069817
2011,6,2,79.7152751058099
2011,6,3,84.3339431232329
2011,6,4,80.4910059445688
2011,6,5,77.1450265755504
2011,6,6,74.549582539915
2011,6,7,76.9919168591223
2011,6,8,90.6101177104861
2011,6,9,77.0640800427709
2011,6,10,94.4158156094818
2011,6,11,67.8455741389568
2011,6,12,79.2664382964483
2011,6,13,75.0168224945945
2011,7,1,39.4383263836915
2011,7,2,80.6617929973066
2011,7,3,84.5834026276401
2011,7,4,80.6145294526364
2011,7,5,77.2817008352315
2011,7,6,74.6887359015673
2011,7,7,77.1146073903002
2011,7,8,90.6011321771947
2011,7,9,77.2550217673566
2011,7,10,94.462662793966
2011,7,11,68.2289945131222
2011,7,12,79.2856467575044
2011,7,13,75.0609347883579
2011,8,1,39.9622224598168
2011,8,2,80.9542131589072
2011,8,3,84.8245468152336
2011,8,4,81.0005404153478
2011,8,5,77.6385725132877
2011,8,6,74.8791562911967
2011,8,7,77.4105080831408
2011,8,8,90.5472189774463
2011,8,9,77.2015580844726
2011,8,10,94.462662793966
2011,8,11,68.5066437495868
2011,8,12,79.3099135279525
2011,8,13,75.2328473881534
2011,9,1,39.7875904344417
2011,9,2,80.8464794151596
2011,9,3,85.0324297355729
2011,9,4,81.0931830463985
2011,9,5,77.8587699316628
2011,9,6,75.2233777647575
2011,9,7,77.0640877598152
2011,9,8,90.5741755773205
2011,9,9,77.2702971053234
2011,9,10,94.462662793966
2011,9,11,68.6454683678191
2011,9,12,79.3132291130175
2011,9,13,75.5005612663396
2011,10,1,39.6949285434263
2011,10,2,80.7926125432858
2011,10,3,85.3068351904207
2011,10,4,81.2244267737203
2011,10,5,77.9347000759301
2011,10,6,75.3698549875494
2011,10,7,76.6454965357967
2011,10,8,90.5741755773205
2011,10,9,77.2932101122737
2011,10,10,94.5095099784502
2011,10,11,68.7644608977325
2011,10,12,79.3191861999741
2011,10,13,75.5860727760268
2011,11,1,39.7555151644748
2011,11,2,80.8310888803385
2011,11,3,85.4481955762514
2011,11,4,81.6181579556859
2011,11,5,78.048595292331
2011,11,6,75.574923099458
2011,11,7,76.9558314087759
2011,11,8,90.5831611106119
2011,11,9,77.2932101122737
2011,11,10,94.5469877260376
2011,11,11,69.0222780458782
2011,11,12,79.2635940324866
2011,11,13,75.6994300062982
2011,12,1,39.9444028653907
2011,12,2,80.7772220084648
2011,12,3,85.6394478629635
2011,12,4,81.7108005867366
2011,12,5,78.215641609719
2011,12,6,75.7067525999707
2011,12,7,76.4795034642032
2011,12,8,90.6011321771947
2011,12,9,78.0264263346826
2011,12,10,94.5469877260376
2011,12,11,69.1743240563231
2011,12,12,79.2216806955601
2011,12,13,75.8428128911827
2012,1,1,39.8838162443422
2012,1,2,80.8541746825702
2012,1,3,85.9138533178114
2012,1,4,81.8806454103296
2012,1,5,78.466211085801
2012,1,6,75.8239343782041
2012,1,7,76.3135103926097
2012,1,8,90.6191032437775
2012,1,9,78.2861070801191
2012,1,10,94.9311346388081
2012,1,11,69.4453625966814
2012,1,12,79.4202539161652
2012,1,13,76.0475098057208
2012,2,1,40.1332905663067
2012,2,2,80.9619084263178
2012,2,3,86.0635290204556
2012,2,4,81.8806454103296
2012,2,5,78.800303720577
2012,2,6,76.2267467408817
2012,2,7,77.6342378752886
2012,2,8,90.6191032437775
2012,2,9,78.5305124875887
2012,2,10,94.940504075705
2012,2,11,69.7164011370397
2012,2,12,80.6692637921619
2012,2,13,76.2707074972565
2012,3,1,40.3970205638119
2012,3,2,81.2158522508657
2012,3,3,86.3129885248627
2012,3,4,80.9773797575851
2012,3,5,79.1040242976461
2012,3,6,76.4830818807675
2012,3,7,78.7601039260969
2012,3,8,90.5651900440291
2012,3,9,78.606889177423
2012,3,10,94.9498735126018
2012,3,11,69.8618364513783
2012,3,12,81.0836183772287
2012,3,13,76.5918029925534
2012,4,1,40.6393670480059
2012,4,2,81.3697575990765
2012,4,3,86.5042408115749
2012,4,4,80.259399366942
2012,4,5,79.552012148823
2012,4,6,76.5929397978614
2012,4,7,79.7704965357967
2012,4,8,90.4663491778237
2012,4,9,79.3935690827159
2012,4,10,94.9498735126018
2012,4,11,70.1064322073114
2012,4,12,81.0913291546726
2012,4,13,77.0049734031911
2012,5,1,40.6500588046616
2012,5,2,81.6544824932666
2012,5,3,86.637285880592
2012,5,4,80.9464988805682
2012,5,5,79.8101746393318
2012,5,6,76.8199794931888
2012,5,7,79.0127020785219
2012,5,8,90.475334711115
2012,5,9,79.2408157030474
2012,5,10,94.9592429494987
2012,5,11,70.4303563165201
2012,5,12,80.9177406523311
2012,5,13,77.5626631687631
2012,6,1,40.9743754232153
2012,6,2,81.9392073874567
2012,6,3,86.7952769000498
2012,6,4,80.8924573457886
2012,6,5,80.2126044039483
2012,6,6,76.995752160539
2012,6,7,77.4032909930715
2012,6,8,90.4843202444065
2012,6,9,79.3324677308485
2012,6,10,95.0154595708797
2012,6,11,70.5757916308587
2012,6,12,80.8926080028
2012,6,13,77.8565833107778
2012,7,1,41.2487971773762
2012,7,2,82.2008464794151
2012,7,3,86.9532679195077
2012,7,4,80.668570987416
2012,7,5,80.4252088078967
2012,7,6,77.1715248278892
2012,7,7,77.8940531177829
2012,7,8,90.6820019768173
2012,7,9,79.5004964484839
2012,7,10,95.0435678815703
2012,7,11,70.7344483374099
2012,7,12,82.3538479976416
2012,7,13,78.2133046263262
2012,8,1,41.5160910937667
2012,8,2,82.3778376298576
2012,8,3,87.2359886911691
2012,8,4,80.9464988805682
2012,8,5,80.7441154138193
2012,8,6,77.3472974952394
2012,8,7,78.6229792147805
2012,8,8,90.6101177104861
2012,8,9,79.5845108073016
