"division","ponderacion"
1,32.3313886241672
2,2.00713017390752
3,6.06164266905935
4,11.1593074721908
5,6.114397099721
6,7.0830860216863
7,9.89552566116843
8,5.67974277318287
9,2.84784600576974
10,2.31077291682006
11,7.55817661389423
12,0.391129573985094
13,6.55985439444742
