"anio","mes","r1","r2","r3","r4","r5","r6","r7","r8"
"2011",4,71.4405010438413,39.21392476137,63.4493378503234,42.5610299178171,64.6132614014177,64.1385302879841,42.7357512953368,57.3631284916201
"2011",5,71.7466945024356,39.2850458543889,63.5971666153372,42.7270151006032,65.1276582397591,64.5667825223436,42.9968911917098,57.5586592178771
"2011",6,71.7536534446764,40.0262025079543,63.9852171234986,43.0792275616372,65.4664073772034,65.0943396226415,43.3740932642487,58.0223463687151
"2011",7,72.2964509394572,40.8347370391166,64.5765321835541,43.4678757945022,66.1188131233925,65.6839622641509,43.8134715025907,58.7262569832402
"2011",8,72.5748086290884,41.179112857945,64.8906683092085,44.0144123719687,66.7398532087071,66.0687686196624,44.0911917098446,59.0335195530726
"2011",9,72.5678496868476,41.0181545947969,65.1616877117339,44.1399133638314,66.6018443008594,66.0501489572989,43.8715025906736,58.7988826815642
"2011",10,72.6026443980515,40.6026576829497,65.1370495842316,44.0427513056152,66.6143905652092,66.1556603773585,43.8673575129534,58.536312849162
"2011",11,72.7835768963118,40.6775219913906,65.2848783492455,44.2735111938788,66.6959412834828,66.3480635551142,43.8300518134715,58.6871508379888
"2011",12,72.8531663187196,40.7523862998316,65.4696643055128,44.5002226630501,66.7273069443573,66.422542204568,44.1160621761658,59.0055865921788
"2012",1,72.8601252609603,41.3662736290474,65.6482907299045,44.6135783976357,66.7649457374067,66.2611717974181,44.1036269430052,59.145251396648
"2012",2,73.3263743910926,41.497286168819,65.7899599630428,44.9172098295616,67.0284172887523,66.4908142999007,44.3689119170984,59.4357541899441
"2012",3,73.5699373695198,41.5422047538836,66.1102556205728,45.1965507469333,67.2542500470485,66.5590863952334,44.5968911917098,59.5977653631285
"2012",4,73.8830897703549,41.57215047726,66.2149676624577,45.4637464070281,67.4424440122953,66.6645978152929,45.0072538860104,59.7877094972067
"2012",5,73.9944328462074,41.5234886767734,66.3627964274715,45.7026031334764,67.6243648453673,66.6770109235352,44.9036269430052,60.1117318435754
"2012",6,73.9665970772443,41.9240127269324,66.3381582999692,45.7147483907534,67.7059155636409,66.6894240317775,45.1979274611399,60.1396648044693
"2012",7,74.258872651357,42.2234699606962,66.5783800431167,45.8888304117242,67.8690170001882,66.8259682224429,45.3388601036269,60.4022346368715
"2012",8,74.4328462073765,43.0245180610144,66.9048352325223,46.2208007772965,68.2767705915564,66.9811320754717,45.5378238341969,60.7094972067039
"2012",9,74.8225469728601,42.9721130451058,67.1881736987989,46.544674304684,68.5653346716015,67.4590367428004,45.5502590673575,61.2905027932961
"2012",10,74.9060542797495,43.0357477072806,67.2682476131814,46.6418363629003,68.7472555046735,67.3535253227408,45.3886010362694,61.1564245810056
"2012",11,74.7877522616562,42.9721130451058,67.2867262088081,46.7511436783936,68.8664450159965,67.3969712015889,45.4051813471503,61.2737430167598
"2012",12,75.3027139874739,43.1293280928317,67.6439790575916,46.8280636411481,69.311837400414,67.6514399205561,45.5461139896373,61.4748603351955
"2013",1,75.5462769659012,43.5860003743216,67.8903603326147,47.1924213594591,69.6254940091588,68.0424528301887,45.9067357512953,61.804469273743
"2013",2,76.1725817675713,43.859255100131,68.4016014782876,48.0263956924821,70.0332476005269,68.5638033763654,46.279792746114,62.0446927374302
"2013",3,76.4578983994433,44.1437394722066,68.5494302433015,48.4150439253472,70.4911862492943,68.9299900695134,46.4248704663212,62.5698324022346
"2013",4,76.5066109951287,44.1587123338948,68.7280566676933,48.601271203595,70.6103757606173,69.0541211519364,46.6155440414508,62.6312849162011
"2013",5,76.6527487821851,44.3870484746397,68.7526947951956,48.6296101372414,70.629195157142,69.2899702085402,46.9471502590674,63.0279329608938
"2013",6,76.87543493389,45.042111173498,69.4487218971358,49.1963888101696,71.1749576563578,69.5692651439921,47.3616580310881,63.4972067039106
"2013",7,77.0146137787057,45.5362156092083,69.5903911302741,49.3664224120481,71.3066934320306,69.6996027805362,47.6435233160622,63.804469273743
"2013",8,77.1259568545581,45.4987834549878,69.6581459809055,49.4878749848184,71.400790414654,69.7616683217478,47.7844559585492,64.0055865921788
"2013",9,77.4112734864301,45.3939734231705,69.9045272559286,49.8643779604065,71.5889843799009,69.8982125124131,47.8176165803109,64.1564245810056
"2013",10,77.4112734864301,45.3864869923264,69.9907607021866,49.7550706449132,71.582711247726,69.8982125124131,47.7305699481865,64.145251396648
"2013",11,77.3973556019485,45.9442260902115,70.0523560209424,50.0384599813773,72.1096543504172,70.2954319761668,48.4476683937824,64.2625698324022
"2013",12,77.7174669450244,46.1239004304698,70.1693871265784,50.3623335087648,72.1347468791167,70.3699106256206,48.700518134715,64.2122905027933
"2014",1,77.9331941544885,46.4682762492982,70.3664921465969,50.6376260070442,72.2288438617402,70.4816285998014,48.6217616580311,64.6759776536313
"2014",2,78.044537230341,48.4372075612952,70.495842315984,50.7590785798146,72.3229408443636,70.6367924528302,48.7170984455959,64.7597765363128
"2014",3,78.2185107863605,46.8875163765675,70.8099784416384,50.9007732480466,72.6177780565837,70.7050645481629,48.7295336787565,64.9329608938547
"2014",4,78.3089770354906,47.2131761182856,70.8222975053896,51.4918424355289,72.6115049244088,70.6181727904667,48.8870466321243,65.1117318435754
"2014",5,78.3994432846207,47.5014037057833,70.8407761010163,51.763086514716,72.5236810739602,70.7609235352532,49.260103626943,65.2960893854749
"2014",6,78.6290883785665,47.9917649260715,71.1179550354173,52.2812841585361,72.837337682705,71.1457298907646,49.7658031088083,65.6201117318436
