"indice","anio","mes"
3.03150427298649,1983,5
3.09682561873155,1983,6
3.16808526863527,1983,7
3.23340661438031,1983,8
3.17699272487322,1983,9
3.1888693331905,1983,10
3.12651713952476,1983,11
3.17402357279389,1983,12
3.09088731457291,1984,1
3.08791816249359,1984,2
3.14136289992137,1984,3
3.21559170190439,1984,4
3.20965339774574,1984,5
3.11464053120748,1984,6
3.18590018111118,1984,7
3.1176096832868,1984,8
3.07604155417631,1984,9
3.25715983101488,1984,10
3.3610801537911,1984,11
3.40264828290159,1984,12
3.38483337042567,1985,1
3.38483337042567,1985,2
3.38186421834635,1985,3
3.43827810785344,1985,4
3.56892079934356,1985,5
3.68174857835774,1985,6
3.79160720529261,1985,7
4.08555326114537,1985,8
4.02617021955895,1985,9
4.21619595263548,1985,10
4.28448645045986,1985,11
4.35277694828424,1985,12
4.52201861680552,1986,1
4.57546335423329,1986,2
4.75361247899254,1986,3
4.92285414751382,1986,4
4.95848397246567,1986,5
5.1336639451456,1986,6
5.21383105128726,1986,7
5.25836833247707,1986,8
5.27024494079435,1986,9
5.33853543861873,1986,10
5.31181306990484,1986,11
5.28509070119096,1986,12
5.41276424060175,1987,1
5.42464084891903,1987,2
5.49590049882273,1987,3
5.5196537154573,1987,4
5.58794421328167,1987,5
5.60278997367828,1987,6
5.63248149447148,1987,7
5.63841979863013,1987,8
5.62654319031284,1987,9
5.65920386318537,1987,10
5.73343266516839,1987,11
5.7779699463582,1987,12
5.88189026913443,1988,1
5.91752009408628,1988,2
5.94721161487949,1988,3
5.95908822319677,1988,4
5.95908822319677,1988,5
6.04222448141775,1988,6
6.25897258320817,1988,7
6.33320138519118,1988,8
6.377738666381,1988,9
6.43415255588809,1988,10
6.43712170796741,1988,11
6.49056644539519,1988,12
6.60339422440938,1989,1
6.63902404936122,1989,2
6.69543793886832,1989,3
6.77560504500998,1989,4
6.82904978243775,1989,5
6.87061791154824,1989,6
6.87952536778621,1989,7
6.96563077808651,1989,8
7.03689042799021,1989,9
7.17050227155964,1989,10
7.36943546087413,1989,11
7.79996251237564,1989,12
8.04046383080062,1990,1
8.17407567437006,1990,2
8.41754614487436,1990,3
8.74118372152032,1990,4
9.2667236395601,1990,5
9.60520697660266,1990,6
9.94369031364523,1990,7
10.0357340281042,1990,8
10.6503485085236,1990,9
11.0838447121044,1990,10
11.5084334594473,1990,11
12.4674695810679,1990,12
12.9187806971246,1991,1
12.8712742638555,1991,2
12.8890891763314,1991,3
13.0642691490114,1991,4
13.2067884488188,1991,5
13.3196162278329,1991,6
13.3493077486261,1991,7
13.5482409379406,1991,8
13.4532280714024,1991,9
13.468073831799,1991,10
13.5393334817027,1991,11
13.7174826064619,1991,12
13.7768656480483,1992,1
13.9193849478557,1992,2
14.1836394829153,1992,3
14.2934981098501,1992,4
14.4003875847057,1992,5
14.5102462116406,1992,6
14.7418400738276,1992,7
14.8576370049211,1992,8
14.958588175618,1992,9
15.0268786734424,1992,10
15.3267630334538,1992,11
15.6682155225757,1992,12
15.7424443245587,1993,1
15.7751049974312,1993,2
15.8909019285247,1993,3
16.1106191823945,1993,4
16.2056320489327,1993,5
16.5975601234031,1993,6
16.9924573499527,1993,7
17.0340254790632,1993,8
16.9597966770802,1993,9
17.0577786956978,1993,10
17.2804651016468,1993,11
17.4912748992786,1993,12
17.865388061273,1994,1
18.0346297297943,1994,2
18.1385500525705,1994,3
18.3523290022816,1994,4
18.4978174541683,1994,5
18.5542313436754,1994,6
18.6403367539757,1994,7
18.8630231599248,1994,8
18.9906966993356,1994,9
19.1569692157776,1994,10
19.4301312070751,1994,11
19.5192057694547,1994,12
19.531082377772,1995,1
19.4657610320269,1995,2
19.5607738985652,1995,3
19.7092315025312,1995,4
20.0002084063047,1995,5
20.2525863330469,1995,6
20.2971236142367,1995,7
20.4188588494889,1995,8
20.5346557805824,1995,9
20.8226635322765,1995,10
21.095825523574,1995,11
21.1997458463502,1995,12
21.4372780126959,1996,1
21.5738590083447,1996,2
21.8054528705317,1996,3
22.0637691014326,1996,4
22.2033192491607,1996,5
22.3458385489681,1996,6
22.6516612131381,1996,7
22.8743476190871,1996,8
22.9515455731495,1996,9
23.0376509834498,1996,10
23.29893636643,1996,11
23.5008387078238,1996,12
23.7532166345661,1997,1
24.3054789213198,1997,2
24.3143863775577,1997,3
24.2995406171611,1997,4
24.3381395941923,1997,5
24.3500162025096,1997,6
24.4598748294444,1997,7
24.715221908266,1997,8
24.8636795122321,1997,9
24.9913530516429,1997,10
25.0833967661018,1997,11
25.1754404805607,1997,12
25.4842322968101,1998,1
25.6297207486968,1998,2
25.7989624172181,1998,3
25.9860189982153,1998,4
26.1196308417847,1998,5
26.1582298188159,1998,6
26.2383969249576,1998,7
26.2740267499094,1998,8
26.2294894687196,1998,9
26.2324586207989,1998,10
26.92724020736,1998,11
27.0578828988501,1998,12
27.0875744196433,1999,1
26.9539625760739,1999,2
26.8292581887424,1999,3
26.8886412303288,1999,4
27.093512723802,1999,5
27.2627543923232,1999,6
27.6071760335244,1999,7
27.8595539602667,1999,8
28.0109807163121,1999,9
28.2188213618645,1999,10
28.3138342284028,1999,11
28.3880630303858,1999,12
28.5157365697966,2000,1
28.7384229757457,2000,2
29.0501839440743,2000,3
29.3263150874512,2000,4
29.0887829211055,2000,5
29.2342713729922,2000,6
29.3025618708166,2000,7
29.1719191793265,2000,8
29.213487308437,2000,9
29.3025618708166,2000,10
29.4955567559724,2000,11
29.8310709409357,2000,12
30.2397566128265,2001,1
30.4605065377894,2001,2
30.6245774279646,2001,3
30.7558341401047,2001,4
30.8483104600216,2001,5
31.0750265991727,2001,6
31.3464893447352,2001,7
31.7372763740615,2001,8
31.8387020152607,2001,9
32.0773505827882,2001,10
32.3010836148452,2001,11
32.4890193617731,2001,12
32.9156036762285,2002,1
33.2049650643555,2002,2
33.4197487751303,2002,3
33.60171830787,2002,4
33.7210425916337,2002,5
33.9149445527498,2002,6
34.1983397266887,2002,7
34.1893904054064,2002,8
34.0998971925836,2002,9
34.1953566195946,2002,10
34.3504781884875,2002,11
34.5443801496035,2002,12
34.9560489285885,2003,1
35.19768060321,2003,2
35.3498190650088,2003,3
35.5079237409958,2003,4
35.5974169538186,2003,5
35.6928763808296,2003,6
35.7883358078406,2003,7
35.8867783419456,2003,8
36.0359336966503,2003,9
36.1910552655432,2003,10
36.3551261557183,2003,11
36.566926759399,2003,12
37.1277508930886,2004,1
37.4021967457452,2004,2
37.6706763842136,2004,3
37.8705445595179,2004,4
38.1837708043977,2004,5
38.3359092661965,2004,6
38.5208619060303,2004,7
38.6342199756058,2004,8
38.9355137921093,2004,9
39.3173515001533,2004,10
39.7081385294795,2004,11
39.9408208828188,2004,12
40.4837463739438,2005,1
40.7820570833532,2005,2
40.9729759373752,2005,3
41.2325062545613,2005,4
41.4383406440538,2005,5
41.7098033896163,2005,6
42.1035735260366,2005,7
42.2557119878354,2005,8
42.6136848391266,2005,9
43.3624447197441,2005,10
43.3803433623087,2005,11
43.3624447197441,2005,12
43.7562148561645,2006,1
43.7442824277881,2006,2
43.9560830314687,2006,3
44.3170389898541,2006,4
44.5944679496048,2006,5
44.8599644809791,2006,6
45.0657988704716,2006,7
45.2119711180821,2006,8
45.0419340137188,2006,9
45.0329846924365,2006,10
45.2895319025286,2006,11
45.8742208929709,2006,12
46.4797916330719,2007,1
46.640879416153,2007,2
47.0435988738556,2007,3
47.1539738363371,2007,4
47.0316664454792,2007,5
47.2434670491599,2007,6
47.5835412578865,2007,7
48.0190748936242,2007,8
48.3442335668804,2007,9
48.5083044570555,2007,10
49.4241183349423,2007,11
49.8864999345268,2007,12
50.3787126050522,2008,1
50.7277361350611,2008,2
51.3243575538799,2008,3
52.0432863635564,2008,4
52.7890631370798,2008,5
53.6481979801787,2008,6
54.3193970763498,2008,7
54.5908598219123,2008,8
54.5073328232777,2008,9
54.7787955688402,2008,10
54.7847617830284,2008,11
54.5759442864418,2008,12
54.3492281472907,2009,1
54.0240694740345,2009,2
53.8898296548003,2009,3
53.9286100470235,2009,4
54.0002046172818,2009,5
53.9793228676231,2009,6
54.1553261861746,2009,7
54.1911234713038,2009,8
54.5252314658422,2009,9
54.420822717549,2009,10
54.4506537884899,2009,11
54.4238058246431,2009,12
55.1278190988492,2010,1
55.3664676663766,2010,2
56.0078356916068,2010,3
55.951156656819,2010,4
55.8944776220312,2010,5
56.174889688876,2010,6
56.3866902925566,2010,7
56.4105551493094,2010,8
56.5746260394845,2010,9
56.8729367488939,2010,10
57.3114534917256,2010,11
57.3591832052312,2010,12
57.7951129975909,2011,1
